지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
411,2008-01-01 00:00,-6,307.7,2.8,0,,,0,,
411,2008-01-01 01:00,-6.2,304.3,3.4,0,,,0,,
411,2008-01-01 02:00,-6.5,301.5,3.7,0,,,0,,
411,2008-01-01 03:00,-6.8,300.6,3.7,0,,,0,,
411,2008-01-01 04:00,-6.9,305.2,3.6,0,,,0,,
411,2008-01-01 05:00,-7.2,303.9,2.2,0,,,0,,
411,2008-01-01 06:00,-7.3,296.7,2.4,0,,,0,,
411,2008-01-01 07:00,-7.3,300.1,4.2,0,,,0,,
411,2008-01-01 08:00,-7.5,312.5,3,0,,,0,,
411,2008-01-01 09:00,-6.9,302.8,3.9,0,,,0,,
411,2008-01-01 10:00,-6.2,292.9,3.8,0,,,0,,
411,2008-01-01 11:00,-5.5,302.9,3.5,0,,,0,,
411,2008-01-01 12:00,-4.9,279.6,3.8,0,,,0,,
411,2008-01-01 13:00,-4.4,277.7,3.5,0,,,0,,
411,2008-01-01 14:00,-3.5,269.9,3.9,0,,,0,,
411,2008-01-01 15:00,-2.7,274.4,4.1,0,,,0,,
411,2008-01-01 16:00,-2.4,284.4,3.4,0,,,0,,
411,2008-01-01 17:00,-2.6,293.3,3.3,0,,,0,,
411,2008-01-01 18:00,-3.4,303.9,3.2,0,,,0,,
411,2008-01-01 19:00,-4,304.9,2.7,0,,,0,,
411,2008-01-01 20:00,-4.6,308.1,2,0,,,0,,
411,2008-01-01 21:00,-4.9,298.1,2.3,0,,,0,,
411,2008-01-01 22:00,-5,304.8,2.1,0,,,0,,
411,2008-01-01 23:00,-4.9,285.7,2.5,0,,,0,,
411,2008-01-02 00:00,-4.9,278.7,2.4,0,,,0,,
411,2008-01-02 01:00,-5.1,295.8,1.9,0,,,0,,
411,2008-01-02 02:00,-4.6,261.8,2.8,0,,,0,,
411,2008-01-02 03:00,-5,278.5,2.2,0,,,0,,
411,2008-01-02 04:00,-5.2,286.3,2.4,0,,,0,,
411,2008-01-02 05:00,-5.7,288.4,1.3,0,,,0,,
411,2008-01-02 06:00,-5.4,297.9,2,0,,,0,,
411,2008-01-02 07:00,-5.8,298.6,1.7,0,,,0,,
411,2008-01-02 08:00,-6,298.9,1,0,,,0,,
411,2008-01-02 09:00,-4.7,304.9,1,0,,,0,,
411,2008-01-02 10:00,-4,285,2,0,,,0,,
411,2008-01-02 11:00,-3,271.7,3.8,0,,,0,,
411,2008-01-02 12:00,-1.8,268.2,3.4,0,,,0,,
411,2008-01-02 13:00,-.8,275.3,3.1,0,,,0,,
411,2008-01-02 14:00,.7,282.9,1.7,0,,,0,,
411,2008-01-02 15:00,.8,271.8,2.5,0,,,0,,
411,2008-01-02 16:00,.7,235.9,4,0,,,0,,
411,2008-01-02 17:00,.5,254.5,2.9,0,,,0,,
411,2008-01-02 18:00,.2,251.9,3.4,0,,,0,,
411,2008-01-02 19:00,.1,256.7,3.3,0,,,0,,
411,2008-01-02 20:00,.1,259.2,.9,0,,,0,,
411,2008-01-02 21:00,-.1,269.2,.7,0,,,0,,
411,2008-01-02 22:00,-.4,0,.1,0,,,0,,
411,2008-01-02 23:00,-.6,210.1,1.9,0,,,0,,
411,2008-01-03 00:00,-.7,0,0,0,,,0,,
411,2008-01-03 01:00,-.4,0,.2,0,,,0,,
411,2008-01-03 02:00,-.2,100.3,.7,0,,,0,,
411,2008-01-03 03:00,-.5,111.8,1.5,0,,,0,,
411,2008-01-03 04:00,-.8,104.5,2,0,,,0,,
411,2008-01-03 05:00,-.8,89.1,1.9,0,,,0,,
411,2008-01-03 06:00,-.6,91.8,1.2,0,,,0,,
411,2008-01-03 07:00,-.6,112.8,1.3,0,,,0,,
411,2008-01-03 08:00,-.4,120.1,1.3,0,,,0,,
411,2008-01-03 09:00,.4,106.8,1.1,0,,,0,,
411,2008-01-03 10:00,1.6,137.9,2.4,0,,,0,,
411,2008-01-03 11:00,3.5,122.5,.8,0,,,0,,
411,2008-01-03 12:00,5.3,169.7,.8,0,,,0,,
411,2008-01-03 13:00,6.3,266.8,4.7,0,,,0,,
411,2008-01-03 14:00,6.9,270.9,4.3,0,,,0,,
411,2008-01-03 15:00,6.8,260.4,5.5,0,,,0,,
411,2008-01-03 16:00,6.4,268,4,0,,,0,,
411,2008-01-03 17:00,5.6,259.5,4.1,0,,,0,,
