지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
421,2013-01-01 00:00,-6.2,53.8,2,0,,,61.4,0,0
421,2013-01-01 01:00,-7.1,12.6,2.5,0,,,67.3,0,0
421,2013-01-01 02:00,-7.4,15.2,2,0,,,67.5,0,0
421,2013-01-01 03:00,-7.4,14.8,2.1,0,,,66.3,0,0
421,2013-01-01 04:00,-7.1,51.1,1.5,0,,,69.5,0,0
421,2013-01-01 05:00,-6.9,102,2.3,0,,,69.8,0,0
421,2013-01-01 06:00,-7.2,69,2,0,,,89.1,0,0
421,2013-01-01 07:00,-7.2,10.8,3,.5,,,91.2,0,0
421,2013-01-01 08:00,-6.5,48.9,2,.5,,,91.3,0,0
421,2013-01-01 09:00,-5.9,9,2,0,,,87.3,0,0
421,2013-01-01 10:00,-5.2,15.3,2.5,0,,,84.3,0,0
421,2013-01-01 11:00,-4,8.3,2.8,0,,,79.9,0,0
421,2013-01-01 12:00,-4,13.5,2.5,0,,,86.4,0,0
421,2013-01-01 13:00,-2.5,23.3,.7,.5,,,83.9,0,0
421,2013-01-01 14:00,-.9,0,.4,0,,,80.4,0,0
421,2013-01-01 15:00,.5,262.6,3.3,0,,,61.2,0,0
421,2013-01-01 16:00,.3,266.4,1.8,0,,,61.8,0,0
421,2013-01-01 17:00,-.1,239.6,3.7,0,,,59.7,0,0
421,2013-01-01 18:00,-.4,258.6,2.3,0,,,62.5,0,0
421,2013-01-01 19:00,-.5,215.1,1.3,0,,,67.3,0,0
421,2013-01-01 20:00,-1.4,297.6,3.2,0,,,83.5,0,0
421,2013-01-01 21:00,-1.9,196.3,1.9,.5,,,94.3,0,0
421,2013-01-01 22:00,-1.5,0,.3,1,,,95.6,0,0
421,2013-01-01 23:00,-1.2,214.3,2.1,0,,,92.4,0,0
421,2013-01-02 00:00,-3.5,292.5,3.4,0,,,85.7,0,0
421,2013-01-02 01:00,-4.9,305.9,2.8,0,,,73,0,0
421,2013-01-02 02:00,-6.3,302.2,3.7,0,,,58.3,0,0
421,2013-01-02 03:00,-7.4,293,3.9,0,,,41.1,0,0
421,2013-01-02 04:00,-8.4,302.4,3,0,,,38.8,0,0
421,2013-01-02 05:00,-9.1,270,3.4,0,,,47,0,0
421,2013-01-02 06:00,-10.1,258.6,3.3,0,,,49.1,0,0
421,2013-01-02 07:00,-10.7,301.4,2.2,0,,,46.3,0,0
421,2013-01-02 08:00,-11.2,330.4,2.2,0,,,42.3,0,0
421,2013-01-02 09:00,-10.9,322.2,2.7,0,,,41.2,0,0
421,2013-01-02 10:00,-9.8,280.6,3,0,,,41.2,0,0
421,2013-01-02 11:00,-9.7,307.7,3.1,0,,,47.5,0,0
421,2013-01-02 12:00,-8.5,303.2,3.8,0,,,43.6,0,0
421,2013-01-02 13:00,-8.3,320.4,4.6,0,,,42.4,0,0
421,2013-01-02 14:00,-8.5,311.6,4.5,0,,,42.7,0,0
421,2013-01-02 15:00,-7.9,305.2,3.9,0,,,44.3,0,0
421,2013-01-02 16:00,-8.3,290,4.7,0,,,44.9,0,0
421,2013-01-02 17:00,-9,313.5,3.6,0,,,46.8,0,0
421,2013-01-02 18:00,-9.9,318.6,3.2,0,,,47.4,0,0
421,2013-01-02 19:00,-10.3,328.1,3.1,0,,,50.1,0,0
421,2013-01-02 20:00,-10.5,325.7,2.2,0,,,52.4,0,0
421,2013-01-02 21:00,-11.1,298.8,3.5,0,,,53.4,0,0
421,2013-01-02 22:00,-11.9,298.2,4.3,0,,,56.5,0,0
421,2013-01-02 23:00,-12.5,292.4,3.2,0,,,58.6,0,0
421,2013-01-03 00:00,-13.3,298.5,2.9,0,,,59.2,0,0
421,2013-01-03 01:00,-13.7,287.2,3.3,0,,,59.5,0,0
421,2013-01-03 02:00,-14,276.1,2.9,0,,,58.7,0,0
421,2013-01-03 03:00,-14,312,2.3,0,,,57.1,0,0
421,2013-01-03 04:00,-14,295.1,1.3,0,,,55.6,0,0
421,2013-01-03 05:00,-14.1,303.3,2.6,0,,,53.2,0,0
421,2013-01-03 06:00,-14,299.3,1.7,0,,,51.8,0,0
421,2013-01-03 07:00,-13.9,330.2,1.6,0,,,48.6,0,0
421,2013-01-03 08:00,-13.8,326.5,2.1,0,,,50.6,0,0
421,2013-01-03 09:00,-13.3,331.9,.6,0,,,51,0,0
421,2013-01-03 10:00,-12.1,269.3,.9,0,,,48.9,0,0
421,2013-01-03 11:00,-11,246.2,1.6,0,,,43.5,0,0
421,2013-01-03 12:00,-10.1,264.6,3.1,0,,,41,0,0
421,2013-01-03 13:00,-9,295.3,2.8,0,,,40,0,0
421,2013-01-03 14:00,-8.2,290.2,3.3,0,,,40.6,0,0
421,2013-01-03 15:00,-8.4,248.2,2.9,0,,,43.7,0,0
421,2013-01-03 16:00,-8.4,311,1.9,0,,,45.3,0,0
421,2013-01-03 17:00,-8.7,252.9,1.8,0,,,47.4,0,0
421,2013-01-03 18:00,-9.1,285.6,1.3,0,,,50.7,0,0
421,2013-01-03 19:00,-9.8,334,3.7,0,,,50.3,0,0
421,2013-01-03 20:00,-10.3,347.4,2.6,0,,,49.5,0,0
421,2013-01-03 21:00,-10.6,325,3.1,0,,,48.4,0,0
421,2013-01-03 22:00,-10.7,12.7,2.9,0,,,51.2,0,0
421,2013-01-03 23:00,-11.2,13,3.3,0,,,53.6,0,0
421,2013-01-04 00:00,-11.7,16.8,2.6,0,,,51.2,0,0
421,2013-01-04 01:00,-12,15.7,2.4,0,,,51.4,0,0
421,2013-01-04 02:00,-12,352.5,.8,0,,,53.3,0,0
421,2013-01-04 03:00,-12,24.8,1.2,0,,,55.5,0,0
421,2013-01-04 04:00,-11.9,186.5,.7,0,,,55.7,0,0
421,2013-01-04 05:00,-12.4,148.7,1.1,0,,,65,0,0
421,2013-01-04 06:00,-12.3,0,.2,0,,,64.9,0,0
421,2013-01-04 07:00,-12.8,5.3,1.5,0,,,64.9,0,0
421,2013-01-04 08:00,-13.2,13.7,1.9,0,,,67.4,0,0
421,2013-01-04 09:00,-12.6,15.3,1.1,0,,,66.1,0,0
421,2013-01-04 10:00,-11.5,82.4,1.1,0,,,55.9,0,0
421,2013-01-04 11:00,-10,89.5,1.3,0,,,47.7,0,0
421,2013-01-04 12:00,-8.8,62.3,1.6,0,,,45.6,0,0
421,2013-01-04 13:00,-7.5,200.9,1.5,0,,,45.2,0,0
421,2013-01-04 14:00,-6.3,221.5,2.4,0,,,42.3,0,0
421,2013-01-04 15:00,-5.3,254.5,1.8,0,,,40.3,0,0
421,2013-01-04 16:00,-5.9,244.8,3.2,0,,,40.6,0,0
421,2013-01-04 17:00,-6.3,258.6,3.7,0,,,40.8,0,0
421,2013-01-04 18:00,-6.8,237.9,1.6,0,,,43.8,0,0
421,2013-01-04 19:00,-7.3,242.7,1.1,0,,,46.2,0,0
421,2013-01-04 20:00,-7.2,262.3,1.2,0,,,47,0,0
421,2013-01-04 21:00,-7.5,22.7,1.7,0,,,52.7,0,0
421,2013-01-04 22:00,-7.6,0,.3,0,,,56.1,0,0
421,2013-01-04 23:00,-7.8,29.1,1.5,0,,,56.4,0,0
421,2013-01-05 00:00,-8.4,125.6,.7,0,,,65.1,0,0
421,2013-01-05 01:00,-8.8,51.2,.9,0,,,63.3,0,0
421,2013-01-05 02:00,-9.7,175.6,.7,0,,,69.2,0,0
421,2013-01-05 03:00,-9.5,74,1.7,0,,,64.5,0,0
421,2013-01-05 04:00,-10,15.6,.9,0,,,60.7,0,0
421,2013-01-05 05:00,-10.4,16.4,.6,0,,,66.9,0,0
421,2013-01-05 06:00,-10.4,29.6,1.3,0,,,66.3,0,0
421,2013-01-05 07:00,-10.8,14.1,1.3,0,,,72.2,0,0
421,2013-01-05 08:00,-11.1,172.9,.5,0,,,72.7,0,0
421,2013-01-05 09:00,-9.6,123.3,.9,0,,,67,0,0
421,2013-01-05 10:00,-8.9,170.1,1.4,0,,,67.1,0,0
421,2013-01-05 11:00,-6.8,122.4,.9,0,,,60.6,0,0
421,2013-01-05 12:00,-5.6,155.4,.9,0,,,56.9,0,0
421,2013-01-05 13:00,-3.9,29.5,.8,0,,,57.3,0,0
421,2013-01-05 14:00,-2,202.5,2.2,0,,,55.4,0,0
421,2013-01-05 15:00,-1,253.2,4.3,0,,,63,0,0
421,2013-01-05 16:00,-1.5,308.2,1.9,0,,,66.2,0,0
421,2013-01-05 17:00,-1.9,296.6,3.1,0,,,70.3,0,0
421,2013-01-05 18:00,-2.1,337.3,1.5,0,,,71.3,0,0
421,2013-01-05 19:00,-2.3,260.5,1.7,0,,,72.1,0,0
421,2013-01-05 20:00,-2.7,267,1.3,0,,,74.2,0,0
421,2013-01-05 21:00,-3.1,324.9,.8,0,,,74.7,0,0
421,2013-01-05 22:00,-3.4,333.2,2.4,0,,,73.3,0,0
421,2013-01-05 23:00,-3.8,8.2,1,0,,,73.9,0,0
421,2013-01-06 00:00,-4.3,60,1.7,0,,,76.1,0,0
421,2013-01-06 01:00,-5.1,25.2,.8,0,,,77.5,0,0
421,2013-01-06 02:00,-5.3,0,.4,0,,,79.2,0,0
421,2013-01-06 03:00,-5.4,65.4,1.3,0,,,81.4,0,0
421,2013-01-06 04:00,-6.8,153.3,1.1,0,,,89.2,0,0
421,2013-01-06 05:00,-6.8,161.7,.7,0,,,88.7,0,0
421,2013-01-06 06:00,,,,0,,,,0,0
421,2013-01-06 07:00,-7.6,,,0,,,87.3,0,0
421,2013-01-06 08:00,-7.8,19.2,1.9,0,,,84.7,0,0
421,2013-01-06 09:00,-7.7,10.3,.7,0,,,84.9,0,0
421,2013-01-06 10:00,-7.1,7.5,1.1,0,,,82.5,0,0
421,2013-01-06 11:00,-6,176,.5,0,,,77.8,0,0
421,2013-01-06 12:00,-4.8,8.8,1.7,0,,,68.8,0,0
421,2013-01-06 13:00,-3.9,12.3,.9,0,,,58.1,0,0
421,2013-01-06 14:00,-2.1,228.1,1.9,0,,,47.8,0,0
