지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
414,2003-01-01 00:00,-5.1,0,.2,0,,,0,,
414,2003-01-01 01:00,-5.7,283.3,.9,0,,,0,,
414,2003-01-01 02:00,-6.2,292.5,1.9,0,,,0,,
414,2003-01-01 03:00,-6.4,320.4,2,0,,,0,,
414,2003-01-01 04:00,-6.9,285.6,.8,0,,,0,,
414,2003-01-01 05:00,-7.2,296.8,.3,0,,,0,,
414,2003-01-01 06:00,-8.2,0,0,0,,,0,,
414,2003-01-01 07:00,-8,0,0,0,,,0,,
414,2003-01-01 08:00,-7.8,0,0,0,,,0,,
414,2003-01-01 09:00,-5.9,122.6,.4,0,,,0,,
414,2003-01-01 10:00,-4.2,106.6,.9,0,,,0,,
414,2003-01-01 11:00,-4,200,1.6,0,,,0,,
414,2003-01-01 12:00,-3.9,302.2,3.1,0,,,0,,
414,2003-01-01 13:00,-2.9,296.6,2.5,0,,,0,,
414,2003-01-01 14:00,-2.3,322.4,2.2,0,,,0,,
414,2003-01-01 15:00,-2.4,323.1,3.2,0,,,0,,
414,2003-01-01 16:00,-2.5,319,2.1,0,,,0,,
414,2003-01-01 17:00,-3.4,319.9,3.6,0,,,0,,
414,2003-01-01 18:00,-4.3,309.9,4.8,0,,,0,,
414,2003-01-01 19:00,-5.2,356,1.2,0,,,0,,
414,2003-01-01 20:00,-6.2,6.3,.9,0,,,0,,
414,2003-01-01 21:00,-6.6,247.2,.7,0,,,0,,
414,2003-01-01 22:00,-7.3,308.4,1.1,0,,,0,,
414,2003-01-01 23:00,-8.4,236.4,.3,0,,,0,,
414,2003-01-02 00:00,-8.5,346.3,.8,0,,,0,,
414,2003-01-02 01:00,-8.9,1.5,1,0,,,0,,
414,2003-01-02 02:00,-9.1,344.4,1,0,,,0,,
414,2003-01-02 03:00,-9.4,353.4,1,0,,,0,,
414,2003-01-02 04:00,-9.4,356.9,1.2,0,,,0,,
414,2003-01-02 05:00,-10.1,12.7,2.2,0,,,0,,
414,2003-01-02 06:00,-10.2,0,.2,0,,,0,,
414,2003-01-02 07:00,-10.1,346.5,.4,0,,,0,,
414,2003-01-02 08:00,-10.3,4.7,2.1,0,,,0,,
414,2003-01-02 09:00,-8.4,77.5,.9,0,,,0,,
414,2003-01-02 10:00,-7.4,68.4,2.7,0,,,0,,
414,2003-01-02 11:00,-5.9,63.5,2.9,0,,,0,,
414,2003-01-02 12:00,-4.5,22.9,.8,0,,,0,,
414,2003-01-02 13:00,-3,159.6,1.5,0,,,0,,
414,2003-01-02 14:00,-2.2,119.6,.8,0,,,0,,
414,2003-01-02 15:00,-1.6,89.9,.7,0,,,0,,
414,2003-01-02 16:00,-1.6,22.9,.4,0,,,0,,
414,2003-01-02 17:00,-1.6,43.5,1,0,,,0,,
414,2003-01-02 18:00,-1.7,300.8,1.1,0,,,0,,
414,2003-01-02 19:00,-2.6,322.9,1.2,0,,,0,,
414,2003-01-02 20:00,-3,285.5,1.5,0,,,0,,
414,2003-01-02 21:00,-3.1,308.7,.9,0,,,0,,
414,2003-01-02 22:00,-3.1,325.8,.6,0,,,0,,
414,2003-01-02 23:00,-3.5,312.4,1,0,,,0,,
414,2003-01-03 00:00,-3.5,0,.2,0,,,0,,
414,2003-01-03 01:00,-4.4,349.1,1.8,0,,,0,,
414,2003-01-03 02:00,-3.8,332.1,.4,0,,,0,,
414,2003-01-03 03:00,-3.5,357.8,.8,0,,,0,,
414,2003-01-03 04:00,-4.5,1.1,1.4,0,,,0,,
414,2003-01-03 05:00,-4,4.4,.5,0,,,0,,
414,2003-01-03 06:00,-3.9,9.4,1,0,,,0,,
414,2003-01-03 07:00,-4.8,6.2,1.2,0,,,0,,
414,2003-01-03 08:00,-4.9,347.4,1.8,0,,,0,,
414,2003-01-03 09:00,-3.5,55.3,1.3,0,,,0,,
414,2003-01-03 10:00,-2.7,65,1.7,0,,,0,,
414,2003-01-03 11:00,-3,197.9,.6,0,,,0,,
414,2003-01-03 12:00,-3.4,122.8,.4,0,,,0,,
414,2003-01-03 13:00,-2.7,220.7,1.4,0,,,0,,
414,2003-01-03 14:00,-1.2,211,1,0,,,0,,
414,2003-01-03 15:00,-1.4,223.4,2.7,0,,,0,,
414,2003-01-03 16:00,-3.6,312.7,6.2,0,,,0,,
414,2003-01-03 17:00,-4.5,309,7.8,0,,,0,,
414,2003-01-03 18:00,-5.2,312.1,4.7,0,,,0,,
414,2003-01-03 19:00,-5.6,315.1,2.9,0,,,0,,
414,2003-01-03 20:00,-6.2,321,3.7,0,,,0,,
414,2003-01-03 21:00,-6.5,316.5,2.6,0,,,0,,
414,2003-01-03 22:00,-7.1,318.1,3.4,0,,,0,,
414,2003-01-03 23:00,-7.6,314.8,3.3,0,,,0,,
414,2003-01-04 00:00,-7.9,297.6,2.1,0,,,0,,
414,2003-01-04 01:00,-8.3,300,1.8,0,,,0,,
414,2003-01-04 02:00,-8.9,307.5,2.7,0,,,0,,
414,2003-01-04 03:00,-9.2,318.3,3.1,0,,,0,,
414,2003-01-04 04:00,-9.4,323.2,1.4,0,,,0,,
414,2003-01-04 05:00,-9.8,313.2,2.1,0,,,0,,
414,2003-01-04 06:00,-10,305,2.3,0,,,0,,
414,2003-01-04 07:00,-10.7,309.3,2.4,0,,,0,,
414,2003-01-04 08:00,-11.1,315.3,2.5,0,,,0,,
414,2003-01-04 09:00,-10.9,307.2,2.8,0,,,0,,
414,2003-01-04 10:00,-10.5,303.2,2,0,,,0,,
414,2003-01-04 11:00,-11.1,303.2,2.9,0,,,0,,
414,2003-01-04 12:00,-10.9,335.9,2,0,,,0,,
414,2003-01-04 13:00,-10.4,312.9,2.5,0,,,0,,
414,2003-01-04 14:00,-10.2,336.3,2.4,0,,,0,,
414,2003-01-04 15:00,-10.3,282.1,3,0,,,0,,
414,2003-01-04 16:00,-10.3,303.1,3.2,0,,,0,,
414,2003-01-04 17:00,-10.8,307.1,3.2,0,,,0,,
414,2003-01-04 18:00,-11.6,303.6,2.7,0,,,0,,
414,2003-01-04 19:00,-12.3,303.1,3.3,0,,,0,,
414,2003-01-04 20:00,-13,311.6,4.1,0,,,0,,
414,2003-01-04 21:00,-13.4,311.9,4.4,0,,,0,,
414,2003-01-04 22:00,-13.6,315.1,4,0,,,0,,
414,2003-01-04 23:00,-14,313.5,3.2,0,,,0,,
414,2003-01-05 00:00,-14.7,316.2,5.1,0,,,0,,
414,2003-01-05 01:00,-15.2,312.6,5.4,0,,,0,,
414,2003-01-05 02:00,-15.4,309.3,5,0,,,0,,
414,2003-01-05 03:00,-15.6,310.3,4.1,0,,,0,,
414,2003-01-05 04:00,-15.5,313.2,4.1,0,,,0,,
414,2003-01-05 05:00,-15.7,316.6,2.5,0,,,0,,
414,2003-01-05 06:00,-16.2,321.9,2.6,0,,,0,,
414,2003-01-05 07:00,-16.6,312.8,3.1,0,,,0,,
414,2003-01-05 08:00,-16.7,314.2,2.6,0,,,0,,
414,2003-01-05 09:00,-15.9,323.7,2.8,0,,,0,,
414,2003-01-05 10:00,-14.8,313.7,2.7,0,,,0,,
414,2003-01-05 11:00,-14.2,325,3.2,0,,,0,,
414,2003-01-05 12:00,-13.2,329.9,1.6,0,,,0,,
414,2003-01-05 13:00,-12.4,266.8,3.6,0,,,0,,
414,2003-01-05 14:00,-11.3,305.1,2.8,0,,,0,,
414,2003-01-05 15:00,-10.6,302.7,2.4,0,,,0,,
414,2003-01-05 16:00,-10.6,290.6,2.8,0,,,0,,
414,2003-01-05 17:00,-11,278.5,2.1,0,,,0,,
414,2003-01-05 18:00,-12.1,317.4,2.4,0,,,0,,
414,2003-01-05 19:00,-12.6,308.4,4.3,0,,,0,,
414,2003-01-05 20:00,-13.3,217.8,.5,0,,,0,,
414,2003-01-05 21:00,-13.5,244.2,.8,0,,,0,,
414,2003-01-05 22:00,-13.9,256.5,.6,0,,,0,,
414,2003-01-05 23:00,-14.1,270,.8,0,,,0,,
414,2003-01-06 00:00,-13.6,301.8,1.3,0,,,0,,
414,2003-01-06 01:00,-14.2,192.5,.3,0,,,0,,
414,2003-01-06 02:00,-14.2,276,.5,0,,,0,,
414,2003-01-06 03:00,-14.8,105.9,.3,0,,,0,,
414,2003-01-06 04:00,-14.5,354.9,1.3,0,,,0,,
414,2003-01-06 05:00,-14.8,350.9,1,0,,,0,,
414,2003-01-06 06:00,-15.4,0,.2,0,,,0,,
414,2003-01-06 07:00,-15.4,0,.2,0,,,0,,
414,2003-01-06 08:00,-15.2,353.1,1.6,0,,,0,,
414,2003-01-06 09:00,-13.6,76.3,.5,0,,,0,,
414,2003-01-06 10:00,-12.2,63.8,1,0,,,0,,
414,2003-01-06 11:00,-11,122.2,1.4,0,,,0,,
414,2003-01-06 12:00,-9.6,141.4,1.5,0,,,0,,
414,2003-01-06 13:00,-7.6,238,1.6,0,,,0,,
414,2003-01-06 14:00,-6.7,59.7,1,0,,,0,,
414,2003-01-06 15:00,-6,189.3,1.4,0,,,0,,
414,2003-01-06 16:00,-5.4,275.6,1.5,0,,,0,,
414,2003-01-06 17:00,-6.6,330,1.1,0,,,0,,
414,2003-01-06 18:00,-7.6,330.3,1.4,0,,,0,,
414,2003-01-06 19:00,-7.8,324.3,2,0,,,0,,
414,2003-01-06 20:00,-7.9,325.8,1.4,0,,,0,,
414,2003-01-06 21:00,-9.2,0,.2,0,,,0,,
414,2003-01-06 22:00,-9.3,330.3,.3,0,,,0,,
414,2003-01-06 23:00,-9.9,355,.5,0,,,0,,
414,2003-01-07 00:00,-9.4,281.5,.3,0,,,0,,
414,2003-01-07 01:00,-9.8,0,.2,0,,,0,,
414,2003-01-07 02:00,-10.7,0,.1,0,,,0,,
414,2003-01-07 03:00,-11,0,.1,0,,,0,,
414,2003-01-07 04:00,-10.7,304.5,.3,0,,,0,,
414,2003-01-07 05:00,-11.3,0,0,0,,,0,,
414,2003-01-07 06:00,-11.3,0,.2,0,,,0,,
414,2003-01-07 07:00,-11.5,354.4,.4,0,,,0,,
414,2003-01-07 08:00,-11.6,8.3,.4,0,,,0,,
414,2003-01-07 09:00,-10.5,0,.1,0,,,0,,
414,2003-01-07 10:00,-8.9,143.3,.7,0,,,0,,
414,2003-01-07 11:00,-7.4,138.9,.9,0,,,0,,
414,2003-01-07 12:00,-5.8,112.6,.9,0,,,0,,
414,2003-01-07 13:00,-3.9,134.2,1.7,0,,,0,,
414,2003-01-07 14:00,-1.8,253,1.2,0,,,0,,
414,2003-01-07 15:00,-1.6,332.3,1.8,0,,,0,,
414,2003-01-07 16:00,-1.7,231,1.9,0,,,0,,
414,2003-01-07 17:00,-2.6,304,1.7,0,,,0,,
414,2003-01-07 18:00,-3.4,312.8,1.9,0,,,0,,
414,2003-01-07 19:00,-3.6,305.5,1.3,0,,,0,,
414,2003-01-07 20:00,-4.5,309.9,.5,0,,,0,,
414,2003-01-07 21:00,-5.1,319.3,.7,0,,,0,,
414,2003-01-07 22:00,-5.6,5.4,.7,0,,,0,,
414,2003-01-07 23:00,-6.3,0,0,0,,,0,,
414,2003-01-08 00:00,-6.8,0,0,0,,,0,,
414,2003-01-08 01:00,-7.2,0,0,0,,,0,,
414,2003-01-08 02:00,-7.5,0,0,0,,,0,,
414,2003-01-08 03:00,-8.2,0,0,0,,,0,,
414,2003-01-08 04:00,-8,0,0,0,,,0,,
414,2003-01-08 05:00,-8.7,0,0,0,,,0,,
414,2003-01-08 06:00,-9.2,0,0,0,,,0,,
414,2003-01-08 07:00,-9.8,0,0,0,,,0,,
414,2003-01-08 08:00,-9.7,354.5,.4,0,,,0,,
414,2003-01-08 09:00,-7.8,129.9,.4,0,,,0,,
414,2003-01-08 10:00,-6.2,112.9,.9,0,,,0,,
414,2003-01-08 11:00,-4.8,148.3,.7,0,,,0,,
414,2003-01-08 12:00,-3.3,128.2,1.2,0,,,0,,
414,2003-01-08 13:00,-1.4,125.2,1.2,0,,,0,,
414,2003-01-08 14:00,-.5,119.9,1.6,0,,,0,,
414,2003-01-08 15:00,.5,333.7,1.8,0,,,0,,
414,2003-01-08 16:00,.6,357.3,1.3,0,,,0,,
414,2003-01-08 17:00,-.6,295,2.1,0,,,0,,
414,2003-01-08 18:00,-1.5,307.3,.6,0,,,0,,
414,2003-01-08 19:00,-1.9,176.5,1.1,0,,,0,,
414,2003-01-08 20:00,-3.5,2.4,1.1,0,,,0,,
414,2003-01-08 21:00,-3,0,.2,0,,,0,,
414,2003-01-08 22:00,-2.9,0,.2,0,,,0,,
414,2003-01-08 23:00,-2.7,0,.1,0,,,0,,
414,2003-01-09 00:00,-2.5,0,.2,0,,,0,,
414,2003-01-09 01:00,-2.8,0,.1,0,,,0,,
414,2003-01-09 02:00,-2.8,0,.1,0,,,0,,
414,2003-01-09 03:00,-3.1,16.5,1.4,0,,,0,,
414,2003-01-09 04:00,-3.2,0,0,0,,,0,,
414,2003-01-09 05:00,-3.2,0,.1,0,,,0,,
414,2003-01-09 06:00,-3,0,0,0,,,0,,
414,2003-01-09 07:00,-2.7,0,0,0,,,0,,
414,2003-01-09 08:00,-3.1,0,.2,0,,,0,,
414,2003-01-09 09:00,-2.6,350.9,.5,0,,,0,,
414,2003-01-09 10:00,-2.1,44.8,.4,0,,,0,,
414,2003-01-09 11:00,-.8,140.2,.8,0,,,0,,
414,2003-01-09 12:00,.4,150.2,1.1,0,,,0,,
414,2003-01-09 13:00,.9,107.9,1.1,0,,,0,,
414,2003-01-09 14:00,2,134,1.3,0,,,0,,
414,2003-01-09 15:00,3.3,239.7,1.5,0,,,0,,
414,2003-01-09 16:00,3.3,209.1,.9,0,,,0,,
414,2003-01-09 17:00,2.7,117.7,.7,0,,,0,,
414,2003-01-09 18:00,1.6,193.8,.5,0,,,0,,
414,2003-01-09 19:00,1.2,276.6,.6,0,,,0,,
414,2003-01-09 20:00,.9,325.3,.8,0,,,0,,
