지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
415,2003-01-01 00:00,-3.3,284.1,1.1,0,,,0,,
415,2003-01-01 01:00,-4,297.5,1.4,0,,,0,,
415,2003-01-01 02:00,-4.5,.7,1.4,0,,,0,,
415,2003-01-01 03:00,-4.9,354.8,1,0,,,0,,
415,2003-01-01 04:00,-5.3,305.5,.6,0,,,0,,
415,2003-01-01 05:00,-5.3,231.7,1.2,0,,,0,,
415,2003-01-01 06:00,-5.7,36,.7,0,,,0,,
415,2003-01-01 07:00,-5.7,342.4,1.2,0,,,0,,
415,2003-01-01 08:00,-5.7,12.2,1.1,0,,,0,,
415,2003-01-01 09:00,-5.3,347.5,1.1,0,,,0,,
415,2003-01-01 10:00,-4.2,310.3,1.4,0,,,0,,
415,2003-01-01 11:00,-2.9,271.2,1.2,0,,,0,,
415,2003-01-01 12:00,-2.4,295.6,2,0,,,0,,
415,2003-01-01 13:00,-1.6,275.9,2.1,0,,,0,,
415,2003-01-01 14:00,-.9,265.1,1.7,0,,,0,,
415,2003-01-01 15:00,-1,255.3,2.1,0,,,0,,
415,2003-01-01 16:00,-1.1,250.9,2.1,0,,,0,,
415,2003-01-01 17:00,-1.9,45.9,2.1,0,,,0,,
415,2003-01-01 18:00,-2.9,12,2.7,0,,,0,,
415,2003-01-01 19:00,-3.7,19.6,2.6,0,,,0,,
415,2003-01-01 20:00,-4.7,308.6,1.7,0,,,0,,
415,2003-01-01 21:00,-5.4,51.1,1.9,0,,,0,,
415,2003-01-01 22:00,-6.1,19.8,2.7,0,,,0,,
415,2003-01-01 23:00,-6.6,17.6,3.5,0,,,0,,
415,2003-01-02 00:00,-6.7,48.6,1.4,0,,,0,,
415,2003-01-02 01:00,-6.9,8.1,1.5,0,,,0,,
415,2003-01-02 02:00,-7.2,37.6,2.9,0,,,0,,
415,2003-01-02 03:00,-7.7,30,1.5,0,,,0,,
415,2003-01-02 04:00,-7.8,20.7,1,0,,,0,,
415,2003-01-02 05:00,-7.7,33.8,2.2,0,,,0,,
415,2003-01-02 06:00,-8.3,47.4,1.8,0,,,0,,
415,2003-01-02 07:00,-8.2,35.9,1.5,0,,,0,,
415,2003-01-02 08:00,-8.1,43.5,2.1,0,,,0,,
415,2003-01-02 09:00,-7.6,47.2,2.5,0,,,0,,
415,2003-01-02 10:00,-6.4,37.3,2.3,0,,,0,,
415,2003-01-02 11:00,-4.9,53.7,3.3,0,,,0,,
415,2003-01-02 12:00,-3.6,50.2,2.7,0,,,0,,
415,2003-01-02 13:00,-1.8,16,1.1,0,,,0,,
415,2003-01-02 14:00,-.6,32.8,.7,0,,,0,,
415,2003-01-02 15:00,-.2,239,1.4,0,,,0,,
415,2003-01-02 16:00,-.2,30.6,1.2,0,,,0,,
415,2003-01-02 17:00,-.3,47.8,.5,0,,,0,,
415,2003-01-02 18:00,-.8,251.4,1.7,0,,,0,,
415,2003-01-02 19:00,-1.5,341.9,1.3,0,,,0,,
415,2003-01-02 20:00,-1.5,274.9,1.1,0,,,0,,
415,2003-01-02 21:00,-2.1,20.5,1.6,0,,,0,,
415,2003-01-02 22:00,-2.2,24.2,1.2,0,,,0,,
415,2003-01-02 23:00,-2.6,319.4,.9,0,,,0,,
415,2003-01-03 00:00,-2.6,355.5,.5,0,,,0,,
415,2003-01-03 01:00,-2.9,56.3,.8,0,,,0,,
415,2003-01-03 02:00,-2.6,9,.5,0,,,0,,
415,2003-01-03 03:00,-2.2,65.8,.3,0,,,0,,
415,2003-01-03 04:00,-2.4,44.9,2.1,0,,,0,,
415,2003-01-03 05:00,-2.7,43.9,1.6,0,,,0,,
415,2003-01-03 06:00,-2.6,51.7,2.3,0,,,0,,
415,2003-01-03 07:00,-3,51,1.9,0,,,0,,
415,2003-01-03 08:00,-3.3,44.3,1.4,0,,,0,,
415,2003-01-03 09:00,-2.2,40.7,1.1,0,,,0,,
415,2003-01-03 10:00,-1.3,50.5,2,0,,,0,,
415,2003-01-03 11:00,-2.1,186.1,1.4,0,,,0,,
415,2003-01-03 12:00,-2.2,312.5,1,0,,,0,,
415,2003-01-03 13:00,-1.8,214.2,3.4,.5,,,0,,
415,2003-01-03 14:00,.2,51.3,1.1,.5,,,0,,
415,2003-01-03 15:00,.2,218.8,3.6,0,,,0,,
415,2003-01-03 16:00,-2.1,318.1,2.2,0,,,0,,
415,2003-01-03 17:00,-3,322.6,2.5,0,,,0,,
415,2003-01-03 18:00,-3.8,70.9,2,0,,,0,,
415,2003-01-03 19:00,-4.2,342.8,2.1,0,,,0,,
415,2003-01-03 20:00,-4.6,9.1,2.8,0,,,0,,
415,2003-01-03 21:00,-5.2,345.8,1.9,0,,,0,,
415,2003-01-03 22:00,-5.4,1,1.5,0,,,0,,
415,2003-01-03 23:00,-6.1,288.1,1.9,0,,,0,,
415,2003-01-04 00:00,-6.7,241.2,1.8,0,,,0,,
415,2003-01-04 01:00,-7.2,290.2,2.5,0,,,0,,
415,2003-01-04 02:00,-7.7,193.6,1.9,0,,,0,,
415,2003-01-04 03:00,-7.7,260,2.5,0,,,0,,
415,2003-01-04 04:00,-8.3,297.9,2.1,0,,,0,,
415,2003-01-04 05:00,-8.8,256.8,2.3,0,,,0,,
415,2003-01-04 06:00,-9.2,271.9,2.2,0,,,0,,
415,2003-01-04 07:00,-9.4,312.3,2,0,,,0,,
415,2003-01-04 08:00,-9.8,344.5,2.7,0,,,0,,
415,2003-01-04 09:00,-9.8,13.4,2.7,0,,,0,,
415,2003-01-04 10:00,-9.6,36.6,2.3,0,,,0,,
415,2003-01-04 11:00,-9.8,359.5,1.9,0,,,0,,
415,2003-01-04 12:00,-9.4,12.1,2.6,0,,,0,,
415,2003-01-04 13:00,-9.1,27.6,2.7,0,,,0,,
415,2003-01-04 14:00,-8.9,356.6,3,0,,,0,,
415,2003-01-04 15:00,-9.1,356.6,2.7,0,,,0,,
415,2003-01-04 16:00,-8.5,236.1,2.5,0,,,0,,
415,2003-01-04 17:00,-9.2,291,2.2,0,,,0,,
415,2003-01-04 18:00,-10.1,6.6,3,0,,,0,,
415,2003-01-04 19:00,-10.3,343.5,2.4,0,,,0,,
415,2003-01-04 20:00,-11.1,8.4,3.2,0,,,0,,
415,2003-01-04 21:00,-11.6,341.7,2.4,0,,,0,,
415,2003-01-04 22:00,-11.9,6,2.9,0,,,0,,
415,2003-01-04 23:00,-12.4,324.2,2.6,0,,,0,,
415,2003-01-05 00:00,-13.2,339.6,2.3,0,,,0,,
415,2003-01-05 01:00,-13.6,6.3,2.7,0,,,0,,
415,2003-01-05 02:00,-13.7,346.5,2.8,0,,,0,,
415,2003-01-05 03:00,-13.9,258.7,2.3,0,,,0,,
415,2003-01-05 04:00,-13.9,33.6,2.2,0,,,0,,
415,2003-01-05 05:00,-14,23.4,2.6,0,,,0,,
415,2003-01-05 06:00,-14.4,1.6,2.7,0,,,0,,
