지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
419,2013-01-01 00:00,-9.5,87.9,3.6,0,,,,0,0
419,2013-01-01 01:00,-10.1,85.4,4.4,0,,,,0,0
419,2013-01-01 02:00,-10.3,90.3,4.8,0,,,,0,0
419,2013-01-01 03:00,-10.4,88,5.2,0,,,,0,0
419,2013-01-01 04:00,-10.5,86.3,5,0,,,,0,0
419,2013-01-01 05:00,-10.5,98.8,4.2,0,,,,0,0
419,2013-01-01 06:00,-10.6,85.1,5.4,0,,,,0,0
419,2013-01-01 07:00,-10.2,90.6,6,0,,,,0,0
419,2013-01-01 08:00,-9.7,86.3,4.7,0,,,,0,0
419,2013-01-01 09:00,-9.2,92,4,0,,,,0,0
419,2013-01-01 10:00,-7.9,102.7,3.1,0,,,,0,0
419,2013-01-01 11:00,-7.3,97.4,2.2,0,,,,0,0
419,2013-01-01 12:00,-6.6,89.5,1.3,0,,,,0,0
419,2013-01-01 13:00,-3.1,265.3,1.1,0,,,,0,0
419,2013-01-01 14:00,-1.8,279.7,2,0,,,,0,0
419,2013-01-01 15:00,-1.1,262,1.7,0,,,,0,0
419,2013-01-01 16:00,-2.2,284.6,3,0,,,,0,0
419,2013-01-01 17:00,-3,262.2,2.2,0,,,,0,0
419,2013-01-01 18:00,-3.5,262.2,1.6,0,,,,0,0
419,2013-01-01 19:00,-3.3,242.6,.9,0,,,,0,0
419,2013-01-01 20:00,-3.9,268,2.2,0,,,,0,0
419,2013-01-01 21:00,-4,250.3,2,1,,,,0,0
419,2013-01-01 22:00,-3.7,250.3,1.5,.5,,,,0,0
419,2013-01-01 23:00,-3.7,261.2,1.2,0,,,,0,0
419,2013-01-02 00:00,-6.7,356.3,6.3,0,,,,0,0
419,2013-01-02 01:00,-8.1,299.2,7.1,0,,,,0,0
419,2013-01-02 02:00,-9.6,304.5,6.4,0,,,,0,0
419,2013-01-02 03:00,-10.5,296.6,6.7,0,,,,0,0
419,2013-01-02 04:00,-11.6,289.8,4.4,0,,,,0,0
419,2013-01-02 05:00,-12.6,281.7,4,0,,,,0,0
419,2013-01-02 06:00,-13.7,269,3.2,0,,,,0,0
419,2013-01-02 07:00,-14.4,283.5,2.4,0,,,,0,0
419,2013-01-02 08:00,-14.4,314.7,4,0,,,,0,0
419,2013-01-02 09:00,-14.1,346.2,3.6,0,,,,0,0
419,2013-01-02 10:00,-13.7,285.8,3.6,0,,,,0,0
419,2013-01-02 11:00,-13.7,300.3,4.7,0,,,,0,0
419,2013-01-02 12:00,-12.6,310.9,5.2,0,,,,0,0
419,2013-01-02 13:00,-12,316.4,6.1,0,,,,0,0
419,2013-01-02 14:00,-11.5,296.4,5.2,0,,,,0,0
419,2013-01-02 15:00,-11.2,307.4,5.3,0,,,,0,0
419,2013-01-02 16:00,-11.6,304.7,5.3,0,,,,0,0
419,2013-01-02 17:00,-12.3,292.7,6.1,0,,,,0,0
419,2013-01-02 18:00,-12.9,309.2,3,0,,,,0,0
419,2013-01-02 19:00,-13.4,302.8,2.3,0,,,,0,0
419,2013-01-02 20:00,-13.8,331.2,3.2,0,,,,0,0
419,2013-01-02 21:00,-14.5,352.5,3.2,0,,,,0,0
419,2013-01-02 22:00,-15.3,301.6,4.8,0,,,,0,0
419,2013-01-02 23:00,-15.7,313,5,0,,,,0,0
419,2013-01-03 00:00,-16.7,293.8,4.1,0,,,,0,0
419,2013-01-03 01:00,-17.1,326.7,2.3,0,,,,0,0
419,2013-01-03 02:00,-17.2,351.2,3.2,0,,,,0,0
419,2013-01-03 03:00,-17.2,293.8,3.4,0,,,,0,0
419,2013-01-03 04:00,-17.4,286.8,2.5,0,,,,0,0
419,2013-01-03 05:00,-17.4,320.8,3.6,0,,,,0,0
419,2013-01-03 06:00,-17.4,303,2.3,0,,,,0,0
419,2013-01-03 07:00,-17.4,285,3.1,0,,,,0,0
419,2013-01-03 08:00,-17.2,319.9,2.7,0,,,,0,0
419,2013-01-03 09:00,-15.9,308.5,2.2,0,,,,0,0
419,2013-01-03 10:00,-15.1,302.6,2,0,,,,0,0
419,2013-01-03 11:00,-13.6,271.4,1.6,0,,,,0,0
419,2013-01-03 12:00,-12.4,260.8,2.4,0,,,,0,0
419,2013-01-03 13:00,-12.2,314.2,3.3,0,,,,0,0
419,2013-01-03 14:00,-12.1,309.3,3.8,0,,,,0,0
419,2013-01-03 15:00,-11,280,2.9,0,,,,0,0
419,2013-01-03 16:00,-11.3,286.6,3.9,0,,,,0,0
419,2013-01-03 17:00,-11.9,272.8,2.7,0,,,,0,0
419,2013-01-03 18:00,-12.3,287,3.7,0,,,,0,0
419,2013-01-03 19:00,-12.9,294.3,4.5,0,,,,0,0
419,2013-01-03 20:00,-13.4,302.7,6,0,,,,0,0
419,2013-01-03 21:00,-14.1,307.8,3.8,0,,,,0,0
419,2013-01-03 22:00,-14.6,338,3.3,0,,,,0,0
419,2013-01-03 23:00,-14.8,319.4,1.9,0,,,,0,0
