지점,일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(hr)
418,2019-01-01 00:00,-3.5,347.6,1.6,0,,,62.2,,
418,2019-01-01 01:00,-4,348.7,.5,0,,,61.7,,
418,2019-01-01 02:00,-4.3,356.4,1.9,0,,,54.8,,
418,2019-01-01 03:00,-5.2,338.7,2.2,0,,,67.2,,
418,2019-01-01 04:00,-5.7,353.5,1.9,0,,,69.3,,
418,2019-01-01 05:00,-6,343.9,2.2,0,,,62.6,,
418,2019-01-01 06:00,-6.3,355.7,2,0,,,71.1,,
418,2019-01-01 07:00,-6.4,324.2,1.2,0,,,66.2,,
418,2019-01-01 08:00,-6.1,291,1,0,,,61.5,,
418,2019-01-01 09:00,-4.9,352.5,1.6,0,,,57.1,,
418,2019-01-01 10:00,-4.7,349.8,2.5,0,,,55.6,,
418,2019-01-01 11:00,-3.8,323.1,2.1,0,,,51.8,,
418,2019-01-01 12:00,-3.2,353.7,3.3,0,,,57,,
418,2019-01-01 13:00,-2.4,356.3,2.8,0,,,57.3,,
418,2019-01-01 14:00,-1.5,306.3,2.9,0,,,54.2,,
418,2019-01-01 15:00,-1,332.6,2,0,,,50,,
418,2019-01-01 16:00,-1.3,338.9,2.4,0,,,51.2,,
418,2019-01-01 17:00,-1.2,323.2,2.5,0,,,49.4,,
418,2019-01-01 18:00,-1.7,320.3,2,0,,,47.3,,
418,2019-01-01 19:00,-2,313,2.2,0,,,44.7,,
418,2019-01-01 20:00,-2.6,323.1,3.4,0,,,44.7,,
418,2019-01-01 21:00,-3.5,342,3,0,,,45.4,,
418,2019-01-01 22:00,-4.5,343.4,2.7,0,,,47.1,,
418,2019-01-01 23:00,-4.8,333.2,3.5,0,,,51.2,,
418,2019-01-02 00:00,-5,351.2,1.6,0,,,52.6,,
418,2019-01-02 01:00,-5.2,356.8,1.3,0,,,56,,
418,2019-01-02 02:00,-5.4,335.7,1.3,0,,,56.7,,
418,2019-01-02 03:00,-5.7,345.6,1,0,,,59.9,,
418,2019-01-02 04:00,-5.6,2.6,.6,0,,,55.5,,
418,2019-01-02 05:00,-5.7,334.5,1.1,0,,,53,,
418,2019-01-02 06:00,-5.7,346.2,.8,0,,,59.4,,
418,2019-01-02 07:00,-5.4,317.9,1,0,,,52.4,,
418,2019-01-02 08:00,-5.6,339.6,1.4,0,,,61.4,,
418,2019-01-02 09:00,-5,343.8,1.9,0,,,53.9,,
418,2019-01-02 10:00,-4.3,335.3,2.3,0,,,43.7,,
418,2019-01-02 11:00,-4.1,354.2,2.4,0,,,41.3,,
418,2019-01-02 12:00,-2.9,350.2,2.5,0,,,36.4,,
418,2019-01-02 13:00,-2.2,354.5,3.1,0,,,30.3,,
418,2019-01-02 14:00,-1.8,358.4,3.2,0,,,31.6,,
418,2019-01-02 15:00,-1.1,354.7,2.9,0,,,32.5,,
418,2019-01-02 16:00,-.5,352,2.4,0,,,34.1,,
418,2019-01-02 17:00,-1.2,348.4,2.1,0,,,36.2,,
418,2019-01-02 18:00,-1.5,343.2,2.2,0,,,37.4,,
418,2019-01-02 19:00,-1.7,326.3,1.8,0,,,38.5,,
418,2019-01-02 20:00,-2.1,344.2,1.5,0,,,41.4,,
418,2019-01-02 21:00,-2.3,353.5,1.7,0,,,47.8,,
418,2019-01-02 22:00,-2.5,344.1,2.1,0,,,53,,
418,2019-01-02 23:00,-3.5,334,2.8,0,,,44.6,,
418,2019-01-03 00:00,-4.1,333.5,2.7,0,,,48.7,,
418,2019-01-03 01:00,-4.7,325.7,1.5,0,,,49.6,,
418,2019-01-03 02:00,-5.2,340,2.2,0,,,52.8,,
418,2019-01-03 03:00,-5.4,337.7,.6,0,,,51.6,,
418,2019-01-03 04:00,-5.6,349.2,1.7,0,,,57,,
418,2019-01-03 05:00,-6.1,347.4,2.4,0,,,60.8,,
418,2019-01-03 06:00,-6.3,347.5,2.2,0,,,63.2,,
418,2019-01-03 07:00,-6.2,342.7,1.7,0,,,61.3,,
418,2019-01-03 08:00,-5.9,331.2,.8,0,,,58.1,,
418,2019-01-03 09:00,-5,352.8,1.5,0,,,54.9,,
418,2019-01-03 10:00,-3.9,.7,1.5,0,,,43.9,,
418,2019-01-03 11:00,-3,353.5,2.2,0,,,35.6,,
418,2019-01-03 12:00,-2,20.9,2.5,0,,,41,,
418,2019-01-03 13:00,-.8,357.7,2.5,0,,,35.7,,
418,2019-01-03 14:00,-.2,13.6,2.1,0,,,24.5,,
418,2019-01-03 15:00,1.3,33,1.2,0,,,31.8,,
418,2019-01-03 16:00,1.8,355.4,2.2,0,,,23.6,,
418,2019-01-03 17:00,1.3,349,1.8,0,,,23.3,,
418,2019-01-03 18:00,.7,346.2,1.4,0,,,22.9,,
418,2019-01-03 19:00,.2,356.5,2.5,0,,,31.7,,
418,2019-01-03 20:00,-.5,355.4,2.4,0,,,49.3,,
418,2019-01-03 21:00,-1.4,322.6,.9,0,,,51.9,,
418,2019-01-03 22:00,-1.2,334.6,.6,0,,,44.2,,
418,2019-01-03 23:00,-1.7,0,.4,0,,,51.5,,
418,2019-01-04 00:00,-1.5,0,.3,0,,,52.5,,
418,2019-01-04 01:00,-2.1,0,0,0,,,58.8,,
418,2019-01-04 02:00,-1.9,178.8,1.3,0,,,64,,
418,2019-01-04 03:00,-1.9,139.9,1.5,0,,,52,,
418,2019-01-04 04:00,-2.4,190.8,1.3,0,,,49.1,,
418,2019-01-04 05:00,-2.7,188.7,1.1,0,,,52,,
418,2019-01-04 06:00,-2.7,178.7,1.5,0,,,55.1,,
418,2019-01-04 07:00,-2.8,131.8,1.9,0,,,52,,
418,2019-01-04 08:00,-3.1,171.7,1.9,0,,,55.2,,
418,2019-01-04 09:00,-2.4,164.5,1.8,0,,,56,,
418,2019-01-04 10:00,-1.9,168.7,1.9,0,,,50.6,,
418,2019-01-04 11:00,-1.3,175.7,1.8,0,,,48.2,,
418,2019-01-04 12:00,-.4,166.4,1.3,0,,,48.5,,
418,2019-01-04 13:00,1.9,259.1,2.1,0,,,45.5,,
418,2019-01-04 14:00,3.3,248.9,1.7,0,,,43,,
418,2019-01-04 15:00,3.5,239.7,2.2,0,,,48.2,,
418,2019-01-04 16:00,3.4,261,1.7,0,,,52.3,,
418,2019-01-04 17:00,3.1,255.3,2.1,0,,,62.3,,
418,2019-01-04 18:00,2.6,259.5,1.5,0,,,70.6,,
418,2019-01-04 19:00,2.5,262.6,1,0,,,73.6,,
418,2019-01-04 20:00,2.6,259.9,1.2,0,,,74.1,,
418,2019-01-04 21:00,2.4,327,.6,0,,,73.4,,
418,2019-01-04 22:00,2.2,259.8,1.5,0,,,73.1,,
418,2019-01-04 23:00,.6,345.4,.8,0,,,84.8,,
418,2019-01-05 00:00,.7,338.3,1.4,0,,,86.4,,
418,2019-01-05 01:00,.2,340.6,2.6,0,,,89.5,,
418,2019-01-05 02:00,-.8,322.2,2.3,0,,,79.6,,
418,2019-01-05 03:00,-1.5,324.5,2.7,0,,,70.7,,
418,2019-01-05 04:00,-2.1,317.9,1.7,0,,,56.3,,
418,2019-01-05 05:00,-2.4,321.3,1.9,0,,,53.9,,
418,2019-01-05 06:00,-3.1,335.1,1.7,0,,,54.2,,
418,2019-01-05 07:00,-3.5,332,2.1,0,,,51.7,,
418,2019-01-05 08:00,-3.9,327.5,2.1,0,,,53,,
418,2019-01-05 09:00,-3.8,338.1,3.3,0,,,54,,
418,2019-01-05 10:00,-3.5,329.6,3.4,0,,,49.8,,
418,2019-01-05 11:00,-2.7,333,2.9,0,,,44,,
418,2019-01-05 12:00,-2.4,345.2,2.9,0,,,41.9,,
418,2019-01-05 13:00,-1.9,352,3.9,0,,,37.7,,
418,2019-01-05 14:00,-.8,336.8,2.9,0,,,29.5,,
418,2019-01-05 15:00,-.4,343.6,3.5,0,,,26.7,,
418,2019-01-05 16:00,0,331.4,3,0,,,25.1,,
418,2019-01-05 17:00,-.1,336.2,2.4,0,,,26,,
418,2019-01-05 18:00,-.1,349.1,1.8,0,,,25.1,,
418,2019-01-05 19:00,-.6,342.4,2.1,0,,,25.8,,
418,2019-01-05 20:00,-1.2,338.5,2.9,0,,,31.2,,
418,2019-01-05 21:00,-1.8,327.3,2,0,,,31.4,,
418,2019-01-05 22:00,-2.6,328.6,2.6,0,,,34.2,,
418,2019-01-05 23:00,-3.4,326.7,2.1,0,,,42.8,,
418,2019-01-06 00:00,-3.6,321.9,1.5,0,,,40.1,,
418,2019-01-06 01:00,-4.1,337.9,2.4,0,,,39.2,,
418,2019-01-06 02:00,-4.5,333.3,1.9,0,,,43.9,,
418,2019-01-06 03:00,-4.3,300.8,.5,0,,,39.7,,
418,2019-01-06 04:00,-4.7,340.8,2,0,,,43.4,,
418,2019-01-06 05:00,-4.7,332.6,1,0,,,43.7,,
418,2019-01-06 06:00,-4.2,352.4,1.4,0,,,42,,
418,2019-01-06 07:00,-4.5,330.9,1.3,0,,,41.9,,
418,2019-01-06 08:00,-3.7,0,.2,0,,,43.4,,
418,2019-01-06 09:00,-4.4,350.9,2.2,0,,,50.9,,
418,2019-01-06 10:00,-3.5,352.7,1.4,0,,,47.5,,
418,2019-01-06 11:00,-2.3,42.5,1.1,0,,,45,,
418,2019-01-06 12:00,-1.3,4.9,3.3,0,,,41.9,,
418,2019-01-06 13:00,-.4,16.8,2.4,0,,,32.7,,
418,2019-01-06 14:00,.6,1.7,2.6,0,,,32,,
418,2019-01-06 15:00,1.3,2.9,2.9,0,,,28,,
418,2019-01-06 16:00,1.4,349.4,2.9,0,,,30.2,,
418,2019-01-06 17:00,1.1,343.8,1.7,0,,,33.3,,
418,2019-01-06 18:00,-.1,339.8,2.4,0,,,36.1,,
418,2019-01-06 19:00,-.7,351.5,2.1,0,,,49.3,,
418,2019-01-06 20:00,-1.1,353.6,1.3,0,,,54.6,,
418,2019-01-06 21:00,-1.2,331.3,1.3,0,,,51.6,,
418,2019-01-06 22:00,-1,0,0,0,,,53.6,,
418,2019-01-06 23:00,-1.8,0,0,0,,,57.6,,
418,2019-01-07 00:00,-2.1,0,0,0,,,61.4,,
418,2019-01-07 01:00,-2,0,.2,0,,,59.8,,
418,2019-01-07 02:00,-2.4,334.9,1.4,0,,,63.3,,
418,2019-01-07 03:00,-3.2,331.2,1.2,0,,,64.7,,
418,2019-01-07 04:00,-3.9,338.5,2,0,,,66,,
418,2019-01-07 05:00,-4.2,325.3,1.4,0,,,63.5,,
418,2019-01-07 06:00,-3.7,336.9,.5,0,,,56.2,,
418,2019-01-07 07:00,-3.9,0,.3,0,,,64.9,,
418,2019-01-07 08:00,-3.3,180.5,.8,0,,,63.3,,
418,2019-01-07 09:00,-2.4,322.2,.7,0,,,65.9,,
418,2019-01-07 10:00,-1.7,51.3,.8,0,,,63.9,,
418,2019-01-07 11:00,-.5,2.4,1.9,0,,,48.4,,
418,2019-01-07 12:00,.8,330.1,2.2,0,,,44.3,,
418,2019-01-07 13:00,1.2,347.9,3.7,0,,,43.8,,
418,2019-01-07 14:00,2,358.7,2.1,0,,,44,,
418,2019-01-07 15:00,2.4,1.8,2.8,0,,,42.8,,
418,2019-01-07 16:00,2.6,355,2.4,0,,,42,,
418,2019-01-07 17:00,2.2,347.4,2.1,0,,,39.7,,
418,2019-01-07 18:00,1.5,343.8,1.6,0,,,41.5,,
418,2019-01-07 19:00,1.4,320.5,1.3,0,,,48.4,,
418,2019-01-07 20:00,1.4,338.6,1.5,0,,,54.8,,
418,2019-01-07 21:00,.5,353.2,1.8,0,,,62.8,,
418,2019-01-07 22:00,0,358.8,1.4,0,,,72.3,,
418,2019-01-07 23:00,-.1,322.3,1.6,0,,,55.9,,
418,2019-01-08 00:00,-.5,340.2,1.2,0,,,52.1,,
418,2019-01-08 01:00,-.8,340.4,2.6,0,,,60,,
418,2019-01-08 02:00,-1.6,338.5,3,0,,,48.5,,
418,2019-01-08 03:00,-2.1,325.4,2.1,0,,,44.4,,
418,2019-01-08 04:00,-2.5,330.2,1.5,0,,,42.6,,
418,2019-01-08 05:00,-2.5,335.9,1.6,0,,,42.6,,
418,2019-01-08 06:00,-3,323.6,1.1,0,,,44.7,,
418,2019-01-08 07:00,-2.8,341.3,1.4,0,,,41.8,,
418,2019-01-08 08:00,-3,330.6,1.4,0,,,46,,
418,2019-01-08 09:00,-2.3,351.6,2.3,0,,,46,,
418,2019-01-08 10:00,-2.2,351.5,3.5,0,,,47.9,,
418,2019-01-08 11:00,-2,333.8,4.5,0,,,37.4,0,0
418,2019-01-08 12:00,-1.6,347.9,4.7,0,,,34.3,,
418,2019-01-08 13:00,-1.1,347.7,4.6,0,,,33.7,,
418,2019-01-08 14:00,-.4,334.8,4.4,0,,,29.6,,
418,2019-01-08 15:00,.1,327.8,5.1,0,,,24.9,,
418,2019-01-08 16:00,.2,338.5,5.6,0,,,27,,
418,2019-01-08 17:00,-.2,340,4.3,0,,,30.5,,
418,2019-01-08 18:00,-1.1,335.4,3.1,0,,,30.9,,
418,2019-01-08 19:00,-2.4,347.1,6.7,0,,,31.6,,
418,2019-01-08 20:00,-4.2,338,5.8,0,,,39,,
418,2019-01-08 21:00,-4.9,343.4,4.7,0,,,37.1,,
418,2019-01-08 22:00,-5,346.6,4.1,0,,,38.7,,
418,2019-01-08 23:00,-5.5,336.7,3.8,0,,,35.5,,
418,2019-01-09 00:00,-5.7,342.6,1.9,0,,,38.1,,
418,2019-01-09 01:00,-6.1,333.4,1.8,0,,,36.6,,
418,2019-01-09 02:00,-5.8,359.9,2.9,0,,,40.8,,
418,2019-01-09 03:00,-6,11.1,1.9,0,,,38.3,,
418,2019-01-09 04:00,-6.1,15.6,2.1,0,,,34.9,,
418,2019-01-09 05:00,-6,136,1.9,0,,,35.3,,
418,2019-01-09 06:00,-6.2,115.7,1.3,0,,,35.2,,
418,2019-01-09 07:00,-6.8,346.8,1.8,0,,,38.5,,
418,2019-01-09 08:00,-6.9,344.2,1.6,0,,,40.6,,
418,2019-01-09 09:00,-5.5,107,2.1,0,,,38.6,,
418,2019-01-09 10:00,-4.6,147.1,1.8,0,,,39,,
418,2019-01-09 11:00,-3.5,72.1,.9,0,,,35.1,,
418,2019-01-09 12:00,-2.4,81.1,.6,0,,,32.6,,
418,2019-01-09 13:00,-2.1,163.3,.8,0,,,30.9,,
418,2019-01-09 14:00,-1.5,135.5,1.2,0,,,29.2,,
418,2019-01-09 15:00,-.7,50.6,.8,0,,,28.1,,
418,2019-01-09 16:00,-.1,10.7,1.3,0,,,26,,
418,2019-01-09 17:00,-.6,337.3,1.7,0,,,27.4,,
418,2019-01-09 18:00,-1,340.3,2,0,,,27.2,,
418,2019-01-09 19:00,-1.9,341,3.1,0,,,38.6,,
418,2019-01-09 20:00,-2.5,340.1,2.8,0,,,35,,
418,2019-01-09 21:00,-2.7,325.2,1.6,0,,,34.1,,
418,2019-01-09 22:00,-3.1,327.5,2.1,0,,,33.5,,
418,2019-01-09 23:00,-3.1,340.8,1.3,0,,,36.4,,
418,2019-01-10 00:00,-2.9,336.6,1.1,0,,,35.7,,
418,2019-01-10 01:00,-3,341.9,2.2,0,,,39.8,,
418,2019-01-10 02:00,-3.5,328.3,2.2,0,,,38.2,,
418,2019-01-10 03:00,-3.4,330.8,1.7,0,,,36.2,,
418,2019-01-10 04:00,-3.2,345.3,2.1,0,,,39.6,,
418,2019-01-10 05:00,-3.2,338.8,1,0,,,35.6,,
418,2019-01-10 06:00,-3.4,331.2,1.7,0,,,36.9,,
418,2019-01-10 07:00,-2.7,0,0,0,,,34.6,,
418,2019-01-10 08:00,-2.7,0,0,0,,,34.4,,
418,2019-01-10 09:00,-1.4,0,.1,0,,,34.3,,
418,2019-01-10 10:00,-1.3,162.7,.9,0,,,29.8,,
418,2019-01-10 11:00,-.1,0,.4,0,,,30.8,,
418,2019-01-10 12:00,.7,69.4,1,0,,,43.1,,
418,2019-01-10 13:00,1.9,2.5,2.2,0,,,46.7,,
418,2019-01-10 14:00,2.4,356.2,1.2,0,,,46.5,,
418,2019-01-10 15:00,3,261.4,1.8,0,,,45.3,,
418,2019-01-10 16:00,3,262.8,2.3,0,,,50.2,,
418,2019-01-10 17:00,2.7,279.7,2.2,0,,,56.2,,
418,2019-01-10 18:00,1.8,266.1,2.3,0,,,63.3,,
418,2019-01-10 19:00,1.5,263,2.2,0,,,67.2,,
418,2019-01-10 20:00,1.1,260.4,2.6,0,,,72.8,,
418,2019-01-10 21:00,1.4,230.8,.7,0,,,75.1,,
418,2019-01-10 22:00,1.6,0,.4,0,,,76.5,,
418,2019-01-10 23:00,1.6,182.9,.5,0,,,78.6,,
418,2019-01-11 00:00,1.7,138.9,.8,0,,,79.4,,
418,2019-01-11 01:00,1.7,198.1,.5,0,,,78.8,,
418,2019-01-11 02:00,1.5,0,.2,0,,,80.5,,
418,2019-01-11 03:00,1.8,0,0,0,,,82.5,,
418,2019-01-11 04:00,1.7,159,.6,0,,,80.5,,
418,2019-01-11 05:00,1.7,191.2,.8,0,,,78.7,,
418,2019-01-11 06:00,1.9,164.8,1.1,0,,,79.2,,
418,2019-01-11 07:00,1.8,183.2,1.1,0,,,75.2,,
418,2019-01-11 08:00,1.5,161.8,1.3,0,,,79,,
418,2019-01-11 09:00,1.7,125.6,1.9,0,,,74.9,,
418,2019-01-11 10:00,2.1,132.8,2.4,0,,,71.6,,
418,2019-01-11 11:00,2.7,152.5,2.7,0,,,65.9,,
418,2019-01-11 12:00,3.4,171.5,2.4,0,,,59.1,,
418,2019-01-11 13:00,4.5,83.5,.9,0,,,56.5,,
418,2019-01-11 14:00,5.4,126,.6,0,,,49.7,,
418,2019-01-11 15:00,4.9,160.3,2.1,0,,,55.1,,
418,2019-01-11 16:00,6.1,0,.4,,,,48.7,,
418,2019-01-11 17:00,5.6,146.2,.9,,,,51.8,,
418,2019-01-11 18:00,5.1,0,.2,,,,49.6,,
418,2019-01-11 19:00,4.5,329.9,2.8,,,,55.3,,
418,2019-01-11 20:00,3.6,344.5,2,,,,52.7,,
